# nucl dec Total(s)  Bp(1+)(s)  Bp(1-)(s)  Bp(0-)(s)  Bp(2-)(s)  EC(1+)(s)  EC(1-)(s)  EC(0-)(s)  EC(2-)(s)
 Lr249 HL+ 2.554173e+00 1.990189e+03 1.903927e+02 1.562265e+03 1.379233e+04 5.688935e+01 2.746027e+00 7.217308e+02 5.200719e+02
 Lr250 HL+ 2.598733e+00 7.749998e+03 2.143053e+02 2.325041e+03 3.446597e+04 1.158929e+02 2.711533e+00 1.058077e+03 8.476560e+02
 Lr251 HL+ 4.284463e+00 1.470170e+04 9.921615e+02 6.534673e+03 7.341474e+04 1.507066e+02 4.461906e+00 1.304736e+03 1.568494e+03
 Lr252 HL+ 5.303921e+00 1.979472e+04 1.562946e+03 1.210022e+04 2.339864e+06 2.175637e+02 5.480272e+00 1.703012e+03 9.082461e+03
 Lr253 HL+ 8.521056e+00 1.981134e+05 4.785020e+03 2.244118e+04 2.011401e+06 4.522898e+02 8.743190e+00 2.245788e+03 1.508957e+04
 Lr254 HL+ 1.149173e+01 5.403873e+05 5.669826e+03 3.767505e+04 6.507650e+06 7.102566e+02 1.176322e+01 2.911849e+03 1.918364e+04
 Lr255 HL+ 2.627679e+01 2.030062e+06 1.803410e+04 6.368702e+04 8.245654e+07 1.172377e+03 2.713730e+01 3.781285e+03 5.659630e+04
 Lr256 HL+ 3.527981e+01 5.015126e+05 1.480625e+04 6.588173e+04 1.213972e+08 9.434580e+02 3.709593e+01 4.347874e+03 7.671294e+04
 Lr257 HL+ 7.200089e+01 1.009395e+11 4.733658e+04 1.071571e+05 2.469799e+08 7.446448e+03 7.375218e+01 6.240761e+03 2.080910e+05
 Lr258 HL+ 1.295741e+02 1.423124e+11 1.000000e+10 3.636656e+04 1.000000e+10 1.032200e+04 1.356567e+02 4.547058e+03 5.735713e+05
 Lr259 HL+ 2.514601e+02 1.750357e+12 3.201086e+05 1.000000e+10 1.000000e+10 6.953748e+04 2.693127e+02 4.106291e+03 3.869319e+05
 Lr260 HL+ 1.524357e+03 1.000000e+10 4.811955e+04 2.554186e+11 1.038761e+08 3.426646e+05 1.584185e+03 6.369352e+12 9.389635e+05
 Lv276 HL+ 1.979519e-01 1.364791e+02 5.308031e+00 2.880503e+01 8.689735e+02 4.709786e+00 2.193351e-01 1.025974e+02 2.574718e+01
 Lv277 HL+ 2.231574e-01 1.416042e+02 6.152232e+00 3.047377e+01 6.651193e+02 4.326238e+00 2.502258e-01 1.123852e+02 2.452020e+01
 Lv278 HL+ 2.592757e-01 2.155762e+02 7.765999e+00 4.032707e+01 2.729622e+03 5.666925e+00 2.863700e-01 1.313509e+02 4.490686e+01
 Lv279 HL+ 3.317771e-01 2.682690e+02 9.552538e+00 4.306858e+01 3.288589e+03 6.020446e+00 3.717976e-01 1.371307e+02 5.233380e+01
 Lv280 HL+ 3.900100e-01 4.454083e+02 1.338956e+01 4.821069e+01 4.227252e+03 8.580689e+00 4.297016e-01 1.483444e+02 6.389896e+01
 Lv281 HL+ 4.395975e-01 1.131733e+02 1.507171e+01 5.247847e+01 4.735599e+03 4.478186e+00 5.163441e-01 1.568954e+02 7.150592e+01
 Lv282 HL+ 5.797805e-01 2.393292e+03 2.296869e+01 5.739836e+01 6.344651e+03 2.181614e+01 6.248461e-01 1.669448e+02 9.062950e+01
 Lv283 HL+ 7.112869e-01 6.792917e+03 2.526422e+01 5.948200e+01 6.628082e+03 2.932668e+01 7.696431e-01 1.790123e+02 9.782334e+01
 Lv284 HL+ 8.989736e-01 1.210690e+04 4.677392e+01 7.973162e+01 1.070223e+04 3.917509e+01 9.603608e-01 2.299582e+02 1.402174e+02
 Lv285 HL+ 1.137333e+00 1.958812e+04 5.713579e+01 8.733862e+01 9.075087e+03 4.330571e+01 1.224247e+00 2.783008e+02 1.509772e+02
 Lv286 HL+ 1.951278e+00 3.332929e+04 9.478496e+01 1.478794e+02 5.864437e+04 5.080139e+01 2.123309e+00 3.931050e+02 5.171395e+02
 Lv287 HL+ 3.544688e+00 5.856489e+04 1.133345e+02 1.750518e+02 1.890950e+05 5.708850e+01 4.039497e+00 5.845149e+02 1.297326e+03
 Lv288 HL+ 7.292982e+00 1.074346e+05 5.681292e+02 6.719707e+02 1.103209e+06 7.996242e+01 8.313245e+00 1.193221e+03 4.431269e+03
 Lv289 HL+ 1.987741e+01 1.817730e+05 7.220704e+03 6.381941e+04 1.417906e+06 9.624426e+01 2.533543e+01 6.037545e+03 8.215042e+03
 Lv290 HL+ 1.202463e+01 3.793638e+07 1.300463e+04 6.850210e+03 3.002705e+07 1.637255e+02 1.316269e+01 1.405025e+03 6.763703e+03
 Lv291 HL+ 1.970653e+01 4.086580e+09 4.517076e+04 3.147195e+04 1.457045e+08 2.375096e+02 2.173418e+01 2.578300e+03 1.219771e+04
 Lv292 HL+ 3.498502e+01 1.357778e+08 5.889625e+05 2.074938e+05 1.695915e+09 3.119981e+02 3.985495e+01 4.047499e+03 2.946841e+04
 Lv293 HL+ 4.873954e+01 3.283490e+10 1.508718e+05 6.013059e+06 1.918490e+09 2.576680e+02 6.065220e+01 8.701604e+03 3.690432e+04
 Lv294 HL+ 1.246369e+02 1.924731e+11 1.000000e+10 1.000000e+10 5.990642e+12 1.146566e+03 1.412239e+02 1.546333e+04 1.813414e+05
 Lv295 HL+ 3.185118e+02 9.926213e+11 1.000000e+10 1.000000e+10 1.000000e+10 3.052161e+03 3.585531e+02 4.406605e+04 3.525545e+06
 Lv296 HL+ 1.073409e+03 9.834875e+10 1.000000e+10 1.000000e+10 1.000000e+10 5.313895e+08 1.082281e+03 1.385521e+05 2.396263e+06
 Lv297 HL+ 2.555139e+03 1.000000e+10 1.137615e+11 1.159411e+09 4.108732e+11 8.883025e+08 2.563927e+03 1.386291e+06 1.618084e+06
 Mc274 HL+ 2.268084e-01 1.497058e+02 5.647819e+00 3.813356e+01 6.567586e+02 5.598291e+00 2.517457e-01 1.156363e+02 2.632541e+01
 Mc275 HL+ 2.717992e-01 2.012805e+02 6.948420e+00 4.874447e+01 1.629828e+03 6.602975e+00 3.006276e-01 1.336609e+02 4.189591e+01
 Mc276 HL+ 2.955407e-01 1.852903e+02 9.621656e+00 3.544539e+01 1.681458e+03 5.541505e+00 3.297595e-01 1.302801e+02 4.024740e+01
 Mc277 HL+ 3.377577e-01 2.609565e+02 1.138774e+01 5.252484e+01 2.396077e+03 6.900971e+00 3.732530e-01 1.613083e+02 5.169116e+01
 Mc278 HL+ 4.408235e-01 3.316125e+02 1.359586e+01 5.916208e+01 3.038629e+03 7.441633e+00 4.954082e-01 1.714532e+02 6.276151e+01
 Mc279 HL+ 5.255094e-01 5.552547e+02 1.911177e+01 6.741948e+01 4.173728e+03 1.084349e+01 5.802433e-01 1.876411e+02 7.841234e+01
 Mc280 HL+ 6.332076e-01 3.601772e+02 2.072915e+01 7.513891e+01 4.948312e+03 9.906042e+00 7.154275e-01 2.016425e+02 9.042479e+01
 Mc281 HL+ 8.412167e-01 2.777618e+03 3.206170e+01 8.315656e+01 6.496038e+03 2.836069e+01 9.119582e-01 2.186705e+02 1.156025e+02
 Mc282 HL+ 1.094854e+00 8.626784e+03 3.186632e+01 8.319634e+01 7.122074e+03 4.392120e+01 1.197452e+00 2.298996e+02 1.336447e+02
 Mc283 HL+ 1.543016e+00 1.694672e+04 7.334798e+01 1.298499e+02 1.322042e+04 6.144852e+01 1.659496e+00 3.274193e+02 2.131500e+02
 Mc284 HL+ 2.902610e+00 3.461141e+04 1.236217e+02 1.427576e+02 2.448891e+05 7.771616e+01 3.191621e+00 4.150123e+02 1.260745e+03
 Mc285 HL+ 3.774499e+00 7.414308e+04 2.414724e+02 3.059165e+02 9.404780e+04 1.034492e+02 4.078793e+00 6.616385e+02 8.672786e+02
 Mc286 HL+ 7.487451e+00 1.944640e+05 2.324835e+03 1.085362e+04 7.400569e+05 1.317688e+02 8.010289e+00 3.891547e+03 2.918931e+03
 Mc287 HL+ 1.296450e+01 2.935878e+05 1.631432e+03 8.792957e+02 1.777048e+06 1.999170e+02 1.436578e+01 1.629329e+03 6.500967e+03
 Mc288 HL+ 1.415116e+02 6.665314e+05 1.882463e+05 9.647792e+07 5.270477e+07 2.402172e+02 3.542222e+02 1.591750e+04 9.169799e+04
 Mc289 HL+ 2.432282e+02 8.763771e+05 1.416495e+08 3.236112e+07 2.189021e+11 3.648512e+02 7.368436e+02 9.243691e+04 7.226198e+05
 Mc290 HL+ 3.506690e+01 3.497485e+09 8.680954e+03 1.341601e+05 1.206041e+07 3.589506e+02 3.954803e+01 3.856264e+03 1.580760e+04
 Mc291 HL+ 8.807953e+01 2.503280e+10 1.101938e+06 9.746567e+04 7.905702e+08 4.854522e+03 9.175038e+01 4.527707e+03 6.167722e+04
 Mc292 HL+ 1.392815e+02 1.182392e+06 1.959605e+06 5.298493e+09 4.426115e+10 5.770593e+02 1.850820e+02 3.126687e+04 9.588674e+04
 Mc293 HL+ 4.149635e+02 5.169564e+06 1.079253e+12 2.723306e+12 5.963986e+13 1.221369e+03 6.336778e+02 8.503923e+04 9.471805e+05
 Mc294 HL+ 8.795616e+02 1.000000e+10 6.445009e+11 1.236263e+12 6.334397e+14 1.754530e+03 1.769350e+03 6.643599e+05 3.419986e+06
 Md241 HL+ 1.479499e+00 4.183051e+01 6.561792e+01 8.427011e+02 9.215108e+03 7.704892e+00 1.993962e+00 6.099956e+02 3.964530e+02
 Md242 HL+ 1.875609e+00 1.318374e+02 6.753161e+01 8.696354e+02 7.024372e+03 1.488568e+01 2.280957e+00 8.110123e+02 3.772224e+02
 Md243 HL+ 2.447916e+00 1.545434e+02 1.317759e+02 1.988594e+03 1.889026e+04 1.821222e+01 2.971042e+00 1.016640e+03 7.034368e+02
 Md244 HL+ 3.006343e+00 5.805349e+02 1.427151e+02 3.077622e+03 2.647935e+04 3.114594e+01 3.453547e+00 1.299718e+03 9.056866e+02
 Md245 HL+ 4.603762e+00 2.090631e+03 5.807614e+02 1.120324e+04 1.594738e+05 7.105531e+01 5.004889e+00 1.756773e+03 2.125378e+03
 Md246 HL+ 5.568715e+00 3.865609e+03 8.307419e+02 1.102990e+04 1.913191e+05 1.002510e+02 5.984431e+00 1.743148e+03 2.721804e+03
 Md247 HL+ 7.884188e+00 8.192851e+03 2.664928e+03 6.432244e+04 1.089887e+06 1.680316e+02 8.340040e+00 3.325207e+03 5.992368e+03
 Md248 HL+ 9.087879e+00 4.024008e+04 7.068246e+03 1.045860e+07 3.384777e+06 4.059414e+02 9.333746e+00 5.710631e+03 1.071680e+04
 Md249 HL+ 1.458367e+01 6.613340e+04 1.698694e+04 3.792059e+06 8.612624e+06 5.014590e+02 1.507913e+01 7.910942e+03 1.721769e+04
 Md250 HL+ 2.208315e+01 2.657874e+05 5.106008e+04 6.503192e+06 1.868535e+07 1.170036e+03 2.257619e+01 1.260258e+04 3.189805e+04
 Md251 HL+ 5.299644e+01 1.000000e+10 1.000000e+10 7.287146e+07 1.000000e+10 4.494593e+03 5.375572e+01 2.511665e+04 2.379586e+05
