# nucl dec Total(s)  Bm(1+)(s)  Bm(1-)(s)  Bm(0-)(s)  Bm(2-)(s)
 Rf319 HL- 3.125113e-02 2.122991e-01 5.782605e-02 1.131527e-01 8.638213e-01 
 Rf320 HL- 2.868464e-02 1.843447e-01 5.312855e-02 1.070659e-01 7.843582e-01 
 Rf321 HL- 2.503383e-02 1.640284e-01 4.583846e-02 9.422745e-02 7.036882e-01 
 Rf322 HL- 2.318476e-02 1.470203e-01 4.251340e-02 8.905864e-02 6.331291e-01 
 Rf323 HL- 2.014287e-02 1.354180e-01 3.627041e-02 7.711988e-02 5.802808e-01 
 Rf324 HL- 1.888303e-02 1.196209e-01 3.450411e-02 7.308814e-02 5.171419e-01 
 Rf325 HL- 1.551698e-02 1.061565e-01 2.790202e-02 6.028684e-02 3.848499e-01 
 Rf326 HL- 1.498826e-02 8.818434e-02 2.785431e-02 6.163267e-02 3.074342e-01 
 Rf327 HL- 1.355959e-02 7.783166e-02 2.534076e-02 5.731583e-02 2.505630e-01 
 Rf328 HL- 1.244067e-02 6.715116e-02 2.356441e-02 5.425744e-02 2.163460e-01 
 Rf329 HL- 1.140586e-02 6.008746e-02 2.169700e-02 5.080219e-02 1.901754e-01 
 Rf330 HL- 1.066334e-02 5.220973e-02 2.066691e-02 4.929146e-02 1.680202e-01 
 Rf331 HL- 9.785382e-03 4.792731e-02 1.891603e-02 4.584417e-02 1.503745e-01 
 Rf332 HL- 9.202583e-03 4.162129e-02 1.818231e-02 4.464624e-02 1.380800e-01 
 Rf333 HL- 8.505350e-03 3.798619e-02 1.679922e-02 4.196504e-02 1.267143e-01 
 Rf334 HL- 7.954385e-03 3.389293e-02 1.593282e-02 4.019056e-02 1.167250e-01 
 Rf335 HL- 7.208881e-03 3.208378e-02 1.420672e-02 3.609823e-02 1.057312e-01 
 Rf282 HL- 3.466227e+02 3.759717e+03 4.088656e+02 5.937714e+03 2.084491e+05 
 Rf283 HL- 1.406571e+02 8.786379e+02 1.837832e+02 1.963942e+03 4.764745e+04 
 Rf284 HL- 6.526302e+01 2.961282e+02 9.174607e+01 1.003986e+03 1.999270e+04 
 Rf285 HL- 6.106153e+01 3.126332e+03 6.616719e+01 1.774191e+03 2.630248e+03 
 Rf286 HL- 9.283722e+01 3.953974e+06 1.006035e+02 2.624427e+03 2.221048e+03 
 Rf287 HL- 5.092374e+01 1.213377e+06 5.578423e+01 1.742954e+03 8.799473e+02 
 Rf288 HL- 4.864447e+01 2.561802e+06 5.423887e+01 1.324641e+03 7.325756e+02 
 Rf289 HL- 6.096652e+00 2.828274e+04 6.424043e+00 2.584759e+02 2.244645e+02 
 Rf290 HL- 7.578596e+00 7.329768e+04 8.496139e+00 1.046968e+02 2.134470e+02 
 Rf291 HL- 1.417280e+00 6.576676e+00 2.680125e+00 5.708298e+00 1.914303e+02 
 Rf292 HL- 1.792080e+00 7.634145e+00 3.747848e+00 6.474660e+00 1.738410e+02 
 Rf293 HL- 1.084422e+00 4.703399e+00 2.150802e+00 4.242545e+00 1.125183e+02 
 Rf294 HL- 1.045039e+00 4.989554e+00 2.028286e+00 3.982931e+00 8.074526e+01 
 Rf295 HL- 7.670947e-01 3.805179e+00 1.437843e+00 3.057657e+00 5.468622e+01 
 Rf296 HL- 6.279385e-01 3.203493e+00 1.149332e+00 2.589434e+00 4.149706e+01 
 Rf297 HL- 4.641857e-01 2.591675e+00 8.290668e-01 1.894817e+00 2.896174e+01 
 Rf298 HL- 3.576196e-01 1.664044e+00 6.128795e-01 1.939167e+00 2.083589e+01 
 Rf299 HL- 2.724756e-01 1.348903e+00 4.582600e-01 1.471302e+00 1.495359e+01 
 Rf300 HL- 4.904560e-01 4.578198e+00 7.733103e-01 2.069323e+00 2.267553e+01 
 Rf301 HL- 3.086178e-01 3.838438e+00 4.573224e-01 1.385618e+00 1.400750e+01 
 Rf302 HL- 3.241591e-01 2.993107e+00 5.023729e-01 1.451716e+00 1.400347e+01 
